CO_ITEM,SG_UF_PROVA,TX_GABARITO,answer_distribution,correct_probability
26545,PB,C,[0.31396343 0.16183558 0.1395488  0.14228337 0.23927534 0.00309349],0.1395487950777645
26545,PE,C,[0.30973401 0.15544857 0.14355992 0.14580036 0.24138621 0.00407093],0.1435599199161026
26545,PI,C,[0.29619286 0.1756158  0.14607001 0.14107222 0.23796224 0.00308687],0.14607001112954368
26545,PR,C,[0.28544672 0.13330274 0.17448308 0.14710807 0.25731509 0.0023443 ],0.17448307512930875
26545,RJ,C,[0.28154747 0.12780834 0.16716948 0.16766637 0.25209583 0.00371251],0.16716947648624667
26545,RN,C,[0.31334978 0.15166466 0.13869925 0.14386247 0.24907731 0.00334653],0.13869925228998145
26545,RO,C,[0.30029567 0.17875048 0.11678879 0.15111197 0.25003214 0.00302095],0.11678879033294767
26545,RR,C,[0.28028204 0.16116847 0.14706623 0.1437925  0.26441702 0.00327373],0.14706623016872325
26545,RS,C,[0.31290499 0.13196827 0.17103821 0.14458262 0.23655184 0.00295407],0.17103821231179722
26545,SC,C,[0.28925465 0.12830824 0.17534836 0.14825119 0.25603198 0.00280557],0.1753483587393622
26545,SE,C,[0.30561859 0.15179571 0.1452301  0.14601676 0.24770809 0.00363075],0.1452300989380049
26545,SP,C,[0.27925005 0.11724743 0.19698381 0.16496937 0.23857583 0.00297352],0.19698380820461064
26545,TO,C,[0.2974593  0.17580546 0.13663919 0.14549418 0.24153668 0.00306519],0.1366391935154281
28034,AC,A,[0.29673351 0.30045278 0.14957956 0.13995796 0.11020375 0.00307245],0.2967335058214748
28034,AL,A,[0.28738604 0.29883811 0.1588559  0.13086502 0.12074716 0.00330776],0.28738603513453415
28034,AM,A,[0.2878034  0.29035982 0.16226394 0.14368179 0.11393936 0.00195168],0.2878034030622062
28034,AP,A,[0.28797257 0.28730345 0.15657411 0.14176982 0.1243727  0.00200736],0.28797256607561056
28034,BA,A,[0.26995266 0.32492193 0.15547329 0.12982629 0.11772852 0.0020973 ],0.2699526609096296
28034,CE,A,[0.30248023 0.30991546 0.14141721 0.1319054  0.11195626 0.00232545],0.30248022585687956
28034,DF,A,[0.32964965 0.2979276  0.12916733 0.11737425 0.11904383 0.00683734],0.3296496528329888
28034,ES,A,[0.30101239 0.33083144 0.13437482 0.11438878 0.11744342 0.00194915],0.3010123930877989
28034,GO,A,[0.30948363 0.3153678  0.13631895 0.12152783 0.11486596 0.00243584],0.30948363145460683
